Time(s),SteerAngle(rad),YawRate(rad/s),Velocity(m/s)
134,-0.39652754,-0.1540387,22.92792
135,-0.34769823,-0.13527843,23.347118
136,-0.29720044,-0.11567161,24.037089
137,-0.25285865,-0.098259721,24.983819
138,-0.22371504,-0.087238776,26.114475
139,-0.20919504,-0.086073245,26.537673
140,-0.21552737,-0.091382271,25.939742
141,-0.23508373,-0.099537199,24.592942
142,-0.26684058,-0.11059982,23.374242
143,-0.29977054,-0.1222255,22.299001
144,-0.33293123,-0.13321994,21.31308
145,-0.36871214,-0.14443071,20.419383
146,-0.42353839,-0.1614124,19.694716
147,-0.49153866,-0.18582266,19.302402
148,-0.46714072,-0.17642557,19.244114
149,-0.37520979,-0.14197707,19.819667
150,-0.26554237,-0.10154356,20.914526
151,-0.16265319,-0.063044421,22.491465
152,-0.077186629,-0.030098881,24.601665
153,-0.033731138,-0.013237319,26.605288
154,-0.031713006,-0.012326496,27.588112
155,-0.0452947,-0.017857987,27.845149
156,-0.061715583,-0.024577173,27.851494
157,-0.076651802,-0.030692704,27.820479
158,-0.089463569,-0.035985221,27.806067
159,-0.10009225,-0.040497471,27.809786
160,-0.10830516,-0.043955056,27.815652
161,-0.1108657,-0.045146457,27.808351
162,-0.10711515,-0.043623809,27.790566
163,-0.099518012,-0.04041978,27.767528
164,-0.090256683,-0.036491364,27.743164
165,-0.079813704,-0.032176942,27.720183
166,-0.038727217,-0.017094824,27.710566
167,0.007490507,0.002821873,27.722851
168,0.031227599,0.02362736,27.744536
169,-0.20172658,-0.08241024,27.773914
170,-0.087836584,-0.03715769,27.790007
171,-0.032951133,-0.014328989,27.162404
172,-0.018918639,-0.009332395,23.779097
173,-0.005458661,-0.00439455,19.474859
174,-0.07545714,-0.014746887,16.07588
175,-0.71622008,-0.22635446,15.028921
176,-0.81256748,-0.26410761,14.63382
177,-0.82061341,-0.26600506,14.638299
178,-0.72471803,-0.24076311,14.792961
179,-0.38021328,-0.13507142,15.430256
180,-0.050462193,-0.022547239,17.082506
181,0.029451151,0.010274914,19.505723
182,0.019158465,0.007306752,22.039177
183,0.006199339,0.002615311,24.390593
184,-0.048713544,-0.017772274,24.902579
185,-0.16125797,-0.064905601,23.619241
186,-0.29307594,-0.11406258,21.889872
187,-0.41087489,-0.15796033,20.998027
188,-0.4717495,-0.17840226,20.468908
189,-0.50320222,-0.18784544,20.281329
190,-0.51989066,-0.19507688,20.290531
191,-0.47934959,-0.18150494,20.355216
192,-0.41047727,-0.15704567,20.401514
193,-0.32567653,-0.12639649,20.382679
194,-0.23287556,-0.092136147,19.842943
195,-0.1671084,-0.066035456,17.227374
196,-0.18057613,-0.056589019,14.378544
197,-0.62600704,-0.1795211,12.944345
198,-0.11752195,-0.061049251,12.764617
199,0.3864876,0.12300407,13.725711
200,0.028188217,0.014855475,15.555183
201,-0.057055047,-0.018885596,18.182768
202,-0.050473836,-0.018374956,21.008792
203,-0.018538243,-0.007572938,23.896388
204,0.024841073,0.008358736,26.241829
205,0.065973532,0.024863757,27.309866
206,0.093455011,0.036616073,27.713822
207,0.10185847,0.04025891,27.788088
208,0.089241795,0.035607223,27.789901
209,0.061084528,0.024805606,27.781072
210,0.026324807,0.011129627,27.777941
211,-0.010334461,-0.003333456,27.780851
212,-0.047111905,-0.017902409,27.786508
213,-0.087248073,-0.033700775,27.793253
214,-0.13383059,-0.053376304,27.619507
215,-0.18115257,-0.073924001,26.646245
216,-0.23154952,-0.095400059,25.369958
217,-0.28862918,-0.11607712,24.135411
218,-0.34549496,-0.13667157,23.226736
219,-0.4062948,-0.15729646,22.837164
220,-0.41838889,-0.16226025,22.797768
221,-0.38306894,-0.14884696,23.026209
222,-0.33193329,-0.1291734,23.528375
223,-0.28283877,-0.11005984,24.298234
224,-0.24199249,-0.093916805,25.317117
225,-0.21744198,-0.08611622,26.377161
226,-0.20718559,-0.08713443,26.395214
227,-0.21985007,-0.094290482,25.566942
228,-0.24408222,-0.10254919,24.197765
229,-0.27687986,-0.11422187,23.037902
230,-0.30974282,-0.125606,21.990535
231,-0.34314558,-0.13647612,21.031047
232,-0.38138747,-0.14835852,20.173736
233,-0.44847298,-0.16955477,19.543233
234,-0.49506235,-0.18742837,19.210677
235,-0.44530698,-0.16710874,19.357996
236,-0.34149571,-0.12977259,20.10042
237,-0.23316989,-0.089581585,21.342186
238,-0.13389081,-0.052128819,23.071104
239,-0.0586211,-0.023005882,25.290931
240,-0.030008168,-0.011699142,27.014552
241,-0.035029672,-0.01367034,27.7174
242,-0.050293314,-0.019905364,27.859558
243,-0.066473754,-0.026524063,27.841966
244,-0.080763146,-0.032382234,27.813862
245,-0.092925442,-0.037435778,27.805677
246,-0.10300348,-0.041681052,27.812531
247,-0.10982224,-0.044622085,27.814887
248,-0.11032503,-0.044937221,27.803849
249,-0.10508211,-0.04277165,27.783842
250,-0.096821582,-0.039276256,27.760119
251,-0.087288546,-0.035231123,27.735988
252,-0.073654207,-0.029981088,27.714762
253,-0.011569969,-0.006770913,27.712357
254,0.11711741,0.039085308,27.729159
255,-0.098686,-0.031499415,27.755535
256,-0.16294695,-0.068728711,27.782727
257,-0.065455718,-0.028223371,27.728554
258,-0.025635304,-0.012252898,26.559843
259,-0.014644142,-0.007268653,22.43953
260,0.014960593,0.003808824,18.231822
261,-0.28460886,-0.080366118,15.578458
262,-0.79450985,-0.25940737,14.847737
263,-0.8170802,-0.26479897,14.615699
264,-0.81661557,-0.26541594,14.662194
265,-0.64075887,-0.21596415,14.910655
266,-0.25958577,-0.095535782,15.808504
267,-0.000378796,-0.003638813,17.761367
268,0.027825236,0.010089392,20.295071
269,0.014578923,0.005687355,22.778879
270,-0.002218082,    2.8894541e-005,24.827338
271,-0.080939372,-0.030143666,24.65952
272,-0.19853285,-0.079514394,23.005035
273,-0.33375403,-0.1288875,21.55522
274,-0.43283504,-0.1663308,20.775667
275,-0.48287578,-0.18214336,20.391571
276,-0.51610457,-0.19279171,20.267932
277,-0.51201325,-0.19263265,20.309805
278,-0.46092294,-0.17502376,20.372344
279,-0.38614778,-0.14814414,20.410995
280,-0.29747023,-0.11650753,20.311708
281,-0.20823946,-0.084734025,19.30717
282,-0.14437837,-0.054692925,16.278005
283,-0.25234459,-0.075417003,13.780127
284,-0.68149843,-0.20594323,12.738705
285,0.24033243,0.051135524,13.023807
286,0.2928323,0.099003552,14.153174
287,-0.017160097,-0.00258959,16.302538
288,-0.059514255,-0.020534491,19.0317
289,-0.042799934,-0.01589868,21.863424
290,-0.006848128,-0.003300885,24.723279
291,0.038182398,0.013584472,26.686117
292,0.077492106,0.029161815,27.535774
293,0.098846222,0.03865487,27.751005
294,0.099561283,0.039691341,27.790516
295,0.081817904,0.032834336,27.786812
296,0.050946249,0.020844048,27.779333
297,0.01524856,0.006785679,27.778315
298,-0.02143464,-0.007733324,27.782424
299,-0.058610901,-0.022442237,27.788452
300,-0.10094194,-0.039129406,27.793699
301,-0.14758302,-0.059837005,27.402702
302,-0.1966855,-0.080419655,26.308728
303,-0.24813876,-0.10143066,24.951487
304,-0.30620365,-0.12255165,23.844039
305,-0.36524332,-0.14262552,23.048607
306,-0.41691824,-0.16139251,22.796555
307,-0.41091055,-0.15951196,22.837753
308,-0.36810719,-0.14313911,23.149048
309,-0.31654435,-0.12320268,23.733462
310,-0.26913935,-0.10470292,24.581471
311,-0.23318196,-0.090324895,25.667775
312,-0.21267785,-0.08573063,26.522556
313,-0.21193727,-0.087963836,26.219485
314,-0.2253478,-0.09640783,25.141276
315,-0.25379301,-0.10592074,23.828031
316,-0.28685022,-0.1177458,22.711629
317,-0.31974562,-0.12893024,21.69125
318,-0.35372966,-0.13975725,20.758738
319,-0.39668513,-0.15300943,19.94806
320,-0.47107546,-0.17755073,19.43291
321,-0.48892951,-0.18437812,19.183877
322,-0.41479699,-0.15754264,19.525542
323,-0.30813402,-0.11740705,20.424843
324,-0.20196651,-0.077897775,21.811635
325,-0.10717113,-0.041808825,23.700137
326,-0.044747235,-0.017617958,25.919802
327,-0.029381049,-0.011413241,27.3192
328,-0.039160205,-0.015352405,27.794361
329,-0.055306452,-0.021955389,27.860033
330,-0.070990312,-0.028384427,27.831788
331,-0.084664671,-0.033991439,27.809172
332,-0.096174333,-0.038806814,27.806714
333,-0.10551708,-0.042759159,27.814593
334,-0.11071039,-0.045031058,27.812807
335,-0.10921829,-0.044494335,27.798567
336,-0.10279676,-0.041807068,27.776884
337,-0.094027777,-0.038090654,27.752714
338,-0.08437549,-0.033991388,27.729042
339,-0.062943275,-0.026104583,27.711472
340,0.009700952,0.004919868,27.71598
341,0.15297671,0.063668537,27.734691
342,-0.17604233,-0.067387901,27.764812
343,-0.12493635,-0.052237798,27.795375
344,-0.046955378,-0.021223241,27.50599
